experiment_id,git_commit,git_dirty,model,revision,precision,method,context,batch_micro,grad_accum,rank,seed,steps_requested,steps_completed,status,exit_code,signal,wall_time_s,step_time_avg_s,step_time_median_s,throughput_tok_s,peak_metal_gpu_memory_bytes,peak_process_memory_bytes,swap_before_bytes,swap_after_bytes,training_loss_final,dataset,manifest_verified,evidence_quality,formal_or_probe,raw_result_path
20260911T192439786665Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a091ed-dbea-7759-a587-acd031129ba5,2b54a3bb07b4,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,2026,100,100,success,0,null,150.151,1.091709,1.077735,458.2482,6192147784,null,6880430653,9746513920,4.825207,formal_sft_v1,True,medium,probe,results/raw/20260911T192439786665Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a091ed-dbea-7759-a587-acd031129ba5
20260911T192740759539Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091f0-9ed7-76fc-937b-2c0f67b6a2bd,2b54a3bb07b4,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,100,100,success,0,null,95.378,0.625877,0.63006,799.3162,3138615976,null,6861482885,10574689731,2.49835,formal_sft_v1,True,medium,probe,results/raw/20260911T192740759539Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091f0-9ed7-76fc-937b-2c0f67b6a2bd
20260911T193038681059Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091f3-55d9-7064-8ee4-694d646068f9,ef092cf625fc,True,Qwen/Qwen3-4B,null,null,lora,512,1,1,8,42,100,null,user_interrupted,null,null,1627.367,null,null,null,null,null,6545410621,9395178045,null,formal_sft_v1,True,medium,probe,results/raw/20260911T193038681059Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091f3-55d9-7064-8ee4-694d646068f9
20260911T195828174593Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a0920c-cf4e-7ef8-bff4-6efcfe5b2cdf,f71b21b31a42,True,Qwen/Qwen3-4B,null,null,lora,512,1,1,8,42,100,null,user_interrupted,null,null,556.744,null,null,null,null,null,6705517691,10461642752,null,formal_sft_v1,True,medium,probe,results/raw/20260911T195828174593Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a0920c-cf4e-7ef8-bff4-6efcfe5b2cdf
20260911T200759039181Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a09215-8546-77d5-a1c0-9b36bc5cee2e,f71b21b31a42,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,4,2026,20,20,success,0,null,230.981,3.44741,3.594952,141.7812,6612148628,null,6747911619,8418953789,1.813994,formal_sft_v1,True,medium,probe,results/raw/20260911T200759039181Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a09215-8546-77d5-a1c0-9b36bc5cee2e
20260911T201150740528Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09219-0e54-7373-88a5-76204a8dd07b,f71b21b31a42,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,42,300,300,success,0,null,1496.883,3.653643,3.642105,137.8511,6646782100,null,8393787965,6959723971,0.814856,formal_sft_v1,True,medium,probe,results/raw/20260911T201150740528Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09219-0e54-7373-88a5-76204a8dd07b
20260911T203648798393Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0922f-ea1e-7e5a-9eca-6792b6d7bd7f,7e4dbd212355,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,1,1,8,123,300,null,user_interrupted,null,null,133.011,null,null,null,null,null,6911688704,8494713405,null,formal_sft_v1,False,low,probe,results/raw/20260911T203648798393Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0922f-ea1e-7e5a-9eca-6792b6d7bd7f
20260911T204908355472Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a0923b-3303-77bc-a728-898f5a3bbce8,7e4dbd212355,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,42,100,100,success,0,null,157.777,1.09183,1.079988,458.1976,6192147784,null,6394415677,9309844931,4.806325,formal_sft_v1,True,medium,probe,results/raw/20260911T204908355472Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a0923b-3303-77bc-a728-898f5a3bbce8
20260911T205646972887Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a09242-327d-7917-b98b-f8d333a6cb0f,7e4dbd212355,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,123,100,100,success,0,null,154.654,1.106989,1.087991,451.923,6192147784,null,6431440896,10157157253,5.352576,formal_sft_v1,True,medium,probe,results/raw/20260911T205646972887Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a09242-327d-7917-b98b-f8d333a6cb0f
20260911T210822672354Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a0924c-d010-7cd4-a9ec-5fe8231f633b,7e4dbd212355,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,2026,100,100,success,0,null,153.28,1.083187,1.078476,461.8533,6192147784,null,6407197819,9161932800,7.804672,formal_sft_v1,True,medium,probe,results/raw/20260911T210822672354Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a0924c-d010-7cd4-a9ec-5fe8231f633b
20260911T215934133340Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a0927b-adf5-7032-82cf-26011657a862,7b4f304a07c5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,42,100,100,success,0,null,154.393,1.089328,1.078476,459.2497,6192147784,null,6147339715,9557896069,4.87731,formal_sft_v1,True,medium,probe,results/raw/20260911T215934133340Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a0927b-adf5-7032-82cf-26011657a862
20260911T220239149628Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a0927e-80ad-7ced-b20e-c20c70dfa79d,7b4f304a07c5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,123,100,100,success,0,null,156.248,1.138839,1.083083,439.2839,6192147784,null,6812073984,10392436736,4.861762,formal_sft_v1,True,medium,probe,results/raw/20260911T220239149628Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a0927e-80ad-7ced-b20e-c20c70dfa79d
20260911T220546189282Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a09281-5b4d-77c3-829e-83f6f7f16bc7,7b4f304a07c5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,full,512,1,1,null,2026,100,100,success,0,null,169.996,1.261394,1.084678,396.6038,6192147784,null,6918179389,10296229888,6.516558,formal_sft_v1,True,medium,probe,results/raw/20260911T220546189282Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a09281-5b4d-77c3-829e-83f6f7f16bc7
20260911T220906899506Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09284-6b53-7097-a4c2-1413faa72d22,7b4f304a07c5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,100,100,success,0,null,93.556,0.612269,0.612626,817.0809,3138615976,null,6867774341,10077538877,2.49835,formal_sft_v1,True,medium,probe,results/raw/20260911T220906899506Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09284-6b53-7097-a4c2-1413faa72d22
20260911T221111158558Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09286-50b6-79c6-87bb-a79f0c53c08a,7b4f304a07c5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,123,100,100,success,0,null,93.898,0.614174,0.614632,814.5469,3138615976,null,6789267456,10275059139,2.481353,formal_sft_v1,True,medium,probe,results/raw/20260911T221111158558Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09286-50b6-79c6-87bb-a79f0c53c08a
20260911T221315568724Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09288-36b0-751a-a7c4-9e311dccf329,7b4f304a07c5,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,2026,100,100,success,0,null,93.444,0.613257,0.612749,815.7658,3138615976,null,6856963523,10093791805,2.484535,formal_sft_v1,True,medium,probe,results/raw/20260911T221315568724Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09288-36b0-751a-a7c4-9e311dccf329
20260911T221519615040Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0928a-1b3f-76f4-8d07-348dc8d058e0,7b4f304a07c5,True,mlx-community/Qwen3-0.6B-4bit,73e3e38d981303bc594367cd910ea6eb48349da8,4bit,qlora,512,1,1,8,42,100,100,success,0,null,100.793,0.689196,0.693251,725.88,2281962152,null,6857036923,11794057789,2.575155,formal_sft_v1,True,medium,probe,results/raw/20260911T221519615040Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0928a-1b3f-76f4-8d07-348dc8d058e0
20260911T221731131287Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0928c-1cfb-75b7-b600-5fadccb13f6f,7b4f304a07c5,True,mlx-community/Qwen3-0.6B-4bit,73e3e38d981303bc594367cd910ea6eb48349da8,4bit,qlora,512,1,1,8,123,100,100,success,0,null,102.196,0.694658,0.698391,720.1723,2281962152,null,6739921469,10395121091,2.580323,formal_sft_v1,True,medium,probe,results/raw/20260911T221731131287Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0928c-1cfb-75b7-b600-5fadccb13f6f
20260911T221944104849Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0928e-2468-7e99-b122-1df85235deb2,7b4f304a07c5,True,mlx-community/Qwen3-0.6B-4bit,73e3e38d981303bc594367cd910ea6eb48349da8,4bit,qlora,512,1,1,8,2026,100,100,success,0,null,102.048,0.696612,0.699602,718.1525,2281962152,null,6753552957,10007410115,2.574444,formal_sft_v1,True,medium,probe,results/raw/20260911T221944104849Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0928e-2468-7e99-b122-1df85235deb2
20260911T222156750583Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09290-2a8e-76cb-a897-bacd1d83ce03,7b4f304a07c5,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,42,100,100,success,0,null,229.108,1.359784,1.390329,367.9067,5955038594,null,6795296768,9612621251,2.207944,formal_sft_v1,True,medium,probe,results/raw/20260911T222156750583Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09290-2a8e-76cb-a897-bacd1d83ce03
20260911T222616713158Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09294-2209-772a-a046-f6b62c22e592,7b4f304a07c5,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,123,100,100,success,0,null,222.393,1.36173,1.398246,367.3809,5955038594,null,6833307648,10002628608,2.19572,formal_sft_v1,True,medium,probe,results/raw/20260911T222616713158Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09294-2209-772a-a046-f6b62c22e592
20260911T223000003930Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09297-8a44-7410-9bb9-ff754164f943,7b4f304a07c5,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,2026,100,100,success,0,null,223.139,1.376621,1.398349,363.4069,5955038594,null,6933771715,9835317821,2.192371,formal_sft_v1,True,medium,probe,results/raw/20260911T223000003930Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09297-8a44-7410-9bb9-ff754164f943
20260911T223414077670Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0929b-6abd-793f-8431-57626dcf2668,7b4f304a07c5,True,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,4bit,qlora,512,1,1,8,42,100,100,success,0,null,237.602,1.666511,1.703493,300.1922,3538698920,null,6976574587,10346697851,2.308437,formal_sft_v1,True,medium,probe,results/raw/20260911T223414077670Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0929b-6abd-793f-8431-57626dcf2668
20260911T223842463348Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0929f-831f-71b8-9360-1c1b939dd5e5,7b4f304a07c5,True,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,4bit,qlora,512,1,1,8,123,100,100,success,0,null,236.754,1.665143,1.696071,300.4389,3538698920,null,6872042045,8729919488,2.289776,formal_sft_v1,True,medium,probe,results/raw/20260911T223842463348Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0929f-831f-71b8-9360-1c1b939dd5e5
20260911T224410028357Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092a4-82ac-7d64-a513-911a27ae446d,7b4f304a07c5,True,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,4bit,qlora,512,1,1,8,2026,100,100,success,0,null,238.623,1.655644,1.692472,302.1625,3538698920,null,8528592896,8930721792,2.287225,formal_sft_v1,True,medium,probe,results/raw/20260911T224410028357Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092a4-82ac-7d64-a513-911a27ae446d
20260911T225009694894Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s42__01a092a9-ff9f-7e8e-b33e-a7ee909f9593,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,4,42,20,20,success,0,null,236.64,3.553431,3.669987,137.5509,6612148628,null,8553234432,8334543421,1.826107,formal_sft_v1,True,medium,probe,results/raw/20260911T225009694894Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s42__01a092a9-ff9f-7e8e-b33e-a7ee909f9593
20260911T225407165563Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s123__01a092ad-9f3d-756e-a8d7-f37dea27440e,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,4,123,20,20,success,0,null,244.61,3.594572,3.690142,135.9766,6612148628,null,8300988989,8642300477,1.818967,formal_sft_v1,True,medium,probe,results/raw/20260911T225407165563Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s123__01a092ad-9f3d-756e-a8d7-f37dea27440e
20260911T225842679493Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a092b1-d377-774b-b1bd-26e115f01fed,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,4,2026,20,20,success,0,null,249.364,3.570608,3.675357,136.8892,6612148628,null,8491305533,8673034240,1.813994,formal_sft_v1,True,medium,probe,results/raw/20260911T225842679493Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a092b1-d377-774b-b1bd-26e115f01fed
20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,42,100,100,success,0,null,531.195,3.678989,3.672337,135.9813,6646782100,null,8488421949,8342009283,2.16306,formal_sft_v1,True,medium,probe,results/raw/20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087
20260911T231215022069Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092be-38ae-7387-9328-a314da7130fc,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,42,300,300,success,0,null,1514.463,3.748621,3.652874,134.3584,6646782100,null,8300066243,7010317763,0.814856,formal_sft_v1,True,medium,probe,results/raw/20260911T231215022069Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092be-38ae-7387-9328-a314da7130fc
20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,123,100,100,success,0,null,532.523,3.624684,3.661767,138.0186,6646782100,null,6993152573,8335329853,2.165791,formal_sft_v1,True,medium,probe,results/raw/20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e
20260911T234624093498Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092dd-7cdd-73dd-b708-86e57dbae943,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,123,300,300,success,0,null,1501.682,3.713068,3.667812,135.6449,6646782100,null,8310164029,10149041275,0.819969,formal_sft_v1,True,medium,probe,results/raw/20260911T234624093498Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092dd-7cdd-73dd-b708-86e57dbae943
20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,2026,100,100,success,0,null,531.411,3.634459,3.659737,137.6474,6646782100,null,6766523843,8407419453,2.170205,formal_sft_v1,True,medium,probe,results/raw/20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b
20260912T002049088671Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092fc-ff40-738d-b11c-029a4d91bfc3,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,8,2026,300,300,success,0,null,1531.467,3.798808,3.674282,132.5833,6646782100,null,8390642237,8763998208,0.823303,formal_sft_v1,True,medium,probe,results/raw/20260912T002049088671Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092fc-ff40-738d-b11c-029a4d91bfc3
20260912T004751556601Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s42__01a09315-c104-7e07-a512-7ef4150ab322,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,32,42,20,20,success,0,null,246.934,3.658702,3.726466,133.5932,6873508500,null,8487174144,8703904317,1.781658,formal_sft_v1,True,medium,probe,results/raw/20260912T004751556601Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s42__01a09315-c104-7e07-a512-7ef4150ab322
20260912T005229332707Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s123__01a09319-fe14-7502-8e56-166f4d12f256,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,32,123,20,20,success,0,null,238.747,3.597426,3.706881,135.8687,6873508500,null,8452046848,8494577091,1.778396,formal_sft_v1,True,medium,probe,results/raw/20260912T005229332707Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s123__01a09319-fe14-7502-8e56-166f4d12f256
20260912T005628891394Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s2026__01a0931d-a5db-72e7-862e-d873772e8ad4,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,4bit,qlora,512,1,1,32,2026,20,20,success,0,null,249.468,3.627851,3.707649,134.7293,6873508500,null,8368747971,8388209541,1.805989,formal_sft_v1,True,medium,probe,results/raw/20260912T005628891394Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s2026__01a0931d-a5db-72e7-862e-d873772e8ad4
20260912T010039277561Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s42__01a09321-77ed-781d-9525-c73e2f13f47c,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,2,1,8,42,20,null,runtime_error,1,null,17.048,null,null,null,null,null,8346266501,8349485629,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010039277561Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s42__01a09321-77ed-781d-9525-c73e2f13f47c
20260912T010057032957Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s123__01a09321-bd49-74c0-b8a1-0782b7750f54,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,2,1,8,123,20,null,runtime_error,1,null,16.081,null,null,null,null,null,8349485629,8404462469,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010057032957Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s123__01a09321-bd49-74c0-b8a1-0782b7750f54
20260912T010113537018Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s2026__01a09321-fdc1-7318-9bb8-17062e743279,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,2,1,8,2026,20,null,runtime_error,1,null,16.073,null,null,null,null,null,8396073861,8439201792,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010113537018Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s2026__01a09321-fdc1-7318-9bb8-17062e743279
20260912T010129965737Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s42__01a09322-3dee-714c-a8eb-64e1429d9826,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,4,1,8,42,20,null,runtime_error,1,null,23.042,null,null,null,null,null,8439201792,7038891459,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010129965737Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s42__01a09322-3dee-714c-a8eb-64e1429d9826
20260912T010153968541Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s123__01a09322-9bb0-754e-accc-539b548284ca,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,4,1,8,123,20,null,runtime_error,1,null,27.024,null,null,null,null,null,6986074685,7049450619,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010153968541Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s123__01a09322-9bb0-754e-accc-539b548284ca
20260912T010221754536Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s2026__01a09323-083a-7124-9f61-789f550b20ba,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,4,1,8,2026,20,null,runtime_error,1,null,25.257,null,null,null,null,null,7005599171,7192906301,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010221754536Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s2026__01a09323-083a-7124-9f61-789f550b20ba
20260912T010247917130Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s42__01a09323-6e6d-7bbc-a2c4-00d73e72c23c,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,8,1,8,42,20,null,runtime_error,1,null,7.099,null,null,null,null,null,7148142592,6948126720,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010247917130Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s42__01a09323-6e6d-7bbc-a2c4-00d73e72c23c
20260912T010255423307Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s123__01a09323-8bbf-760e-a3d8-f8a9763ccbc8,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,8,1,8,123,20,null,runtime_error,1,null,3.555,null,null,null,null,null,6948126720,6922960896,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010255423307Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s123__01a09323-8bbf-760e-a3d8-f8a9763ccbc8
20260912T010259241894Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s2026__01a09323-9aaa-7934-b499-d66e8245049e,7b4f304a07c5,True,mlx-community/Qwen3-4B-4bit,null,4bit,qlora,512,8,1,8,2026,20,null,runtime_error,1,null,3.575,null,null,null,null,null,6922960896,6914572288,null,formal_sft_v1,True,medium,probe,results/raw/20260912T010259241894Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s2026__01a09323-9aaa-7934-b499-d66e8245049e
